Id,Creation Time,Owner,Monitoring Time,Tags,training/val_acc_epoch (max),training/train_acc_epoch (max),metadata/seed (last),metadata/mfccs_pr_window (last)
BCMAC-118,2022-11-04 16:54:31,aksel.s.madsen,714,[],0.9577046632766724,0.995642364025116,9.0,62.0
BCMAC-117,2022-11-04 16:43:44,aksel.s.madsen,646,[],0.9598498344421387,0.9924364686012268,8.0,62.0
BCMAC-116,2022-11-04 16:32:18,aksel.s.madsen,684,[],0.963907778263092,0.992881715297699,7.0,62.0
BCMAC-115,2022-11-04 16:23:26,aksel.s.madsen,531,[],0.9608151316642761,0.993902862071991,6.0,62.0
BCMAC-114,2022-11-04 16:09:15,aksel.s.madsen,850,[],0.9617089629173279,0.996408224105835,5.0,62.0
BCMAC-113,2022-11-04 15:52:41,aksel.s.madsen,992,[],0.9663746953010559,0.9959985613822937,4.0,62.0
BCMAC-112,2022-11-04 15:44:51,aksel.s.madsen,469,[],0.9603146314620972,0.9892662167549133,3.0,62.0
BCMAC-111,2022-11-04 15:32:28,aksel.s.madsen,742,[],0.9641222953796387,0.9937544465065002,2.0,62.0
BCMAC-110,2022-11-04 15:14:16,aksel.s.madsen,1090,[],0.9607257843017578,0.9976311922073364,1.0,62.0
BCMAC-109,2022-11-04 15:03:10,aksel.s.madsen,664,[],0.9609403014183044,0.9935169816017151,0.0,62.0
BCMAC-108,2022-11-04 14:54:27,aksel.s.madsen,522,[],0.9166414141654968,0.9749814867973328,9.0,31.0
BCMAC-107,2022-11-04 14:43:28,aksel.s.madsen,658,[],0.9186736941337585,0.9800171852111816,8.0,31.0
BCMAC-106,2022-11-04 14:30:45,aksel.s.madsen,761,[],0.9228630065917969,0.9765354990959167,7.0,31.0
BCMAC-105,2022-11-04 14:23:04,aksel.s.madsen,461,[],0.9181210398674011,0.9712921380996704,6.0,31.0
BCMAC-104,2022-11-04 14:12:07,aksel.s.madsen,655,[],0.921044647693634,0.9819626808166504,5.0,31.0
BCMAC-103,2022-11-04 14:00:30,aksel.s.madsen,696,[],0.918228030204773,0.9816305637359619,4.0,31.0
BCMAC-102,2022-11-04 13:51:44,aksel.s.madsen,525,[],0.9202067852020264,0.9719802141189575,3.0,31.0
BCMAC-101,2022-11-04 13:41:45,aksel.s.madsen,598,[],0.9189589023590088,0.9759660959243774,2.0,31.0
BCMAC-100,2022-11-04 13:29:06,aksel.s.madsen,758,[],0.9192619919776917,0.9763693809509277,1.0,31.0
BCMAC-99,2022-11-04 13:18:44,aksel.s.madsen,621,[],0.9188697934150696,0.9741985201835632,0.0,31.0
